pos	char_start	char_end	token_id	uid	token_str	tail	fp_hex	hd_token_fp	is_green	n_attacked_chars_in_prev_window	attacked_chars_in_prev_window
0	0	0	128000	6504730	<|begin_of_text|>		c6721592728fce9a514b74ac0937e7ab49902c84af6de29832d18d12eb739e27	117	1	0	
1	0	1	1	16974370	""""		c6721592728fce9a514b74ac0937e7ab49902c84af6de29832d18d12eb739e27	123	1	0	
2	1	4	15546	7358254	Who	""""	2b94faeeff1bfe844fdb13d14b54885d196eda6d30b4bb1dbf1415d0a17e909b	117	1	0	
3	4	8	2099	6701376	ever	"""Who"	cc463d48cb5a92badc8619e92d7ef2c30494681a1dbaef263b4eeefb4e3e372b	121	1	0	
4	8	13	5334	7687744	 gets	"""Whoever"	6648a508403ea27e41e077b1050c0e9a1682411641f346483863f009c31e2c0a	131	0	0	
5	13	17	1461	7226430	 him	"""Whoever gets"	0425a529d69ce67a59e167b3652f8e3a0fa5cd3061fa4188380bd1efc6bbacbd	131	0	0	
6	17	18	11	16974380	,	"""Whoever gets him"	1c47e5089dede66a4de527bb8f2f8e3bcfa7ed39637ad98c3c09f19acf330c55	120	1	0	
7	18	23	814	6697793	 they	"""Whoever gets him,"	0c04e5089dade6784de52731938e8e3bce86ed31417ad1883809f18ac6321c55	139	0	0	
8	23	26	3358	7161087	'll	ver gets him, they	1c2246909d85e6384da50e3193abaa3dca8fee21f37099b9b418f9d492369e15	121	1	0	
9	26	29	387	16934599	 be	 gets him, they'll	1c3246821b8fe2280d248e31938892145a8fee29d230b7a7b078e9d49126100d	134	0	0	
10	29	37	3794	7687744	 getting	ts him, they'll be	1c3287825ba7e02805806e31939c9844502aaa21c030b4a1b032e1145026120f	116	1	0	
11	37	39	264	16974433	 a	they'll be getting	1c3053c53a64a220a306f835c780ca4552ed86e4c0b97405a032530870ba5128	130	0	0	
12	39	44	1695	7360069	 good	ey'll be getting a	1c10d9613274a62892877a35c8b2ce0552ef9344c29975051872330a702a6039	114	1	0	
13	44	48	832	6699330	 one	 be getting a good	9f905179f0518969a856eb372daa4e1d7acb07c0c299c1c20a72370a68a00239	140	0	0	
14	48	50	1359	16917326	","""	getting a good one	ced00101b011c9ed8816d98a65e2201dedc907a4909190c38272151ea8e02331	125	1	0	
15	50	56	6941	7818779	 David	"tting a good one,"""	eec00901e939c5ec8a06cb4ae4822c1967cd05b61281a0c30272151ee8e22b33	113	1	0	
16	56	67	44125	7293994	 Montgomery	"a good one,"" David"	eec80b0beb19d3b88bc548c8b4a20001f76c853711039823a858359ea8e76d00	131	0	0	
17	67	72	1071	6960189	 said	""" David Montgomery"	1e5163b4a7d1602b8b9c0458f9f806269c49c8bd82bbba889072b0aaca23e564	132	0	0	
18	72	73	13	16974382	.	id Montgomery said	1a31a5b3c3d802ab9a192648fbac0f2798c908649eadbc881b4bb882cb2365e7	128	0	0	
19	73	76	2006	16928663	 IN	d Montgomery said.	0ab185b5cf5800af92bd0640fbac0fa798c908649ea5bc08134bb88a4b2b6464	124	1	0	
20	76	78	18091	16927373	DI	ontgomery said. IN	0a92a5a0875800ab1299044073a94d2798c908768e9d28c9034a2084452f6764	134	0	0	
21	78	80	1111	16928655	AN	tgomery said. INDI	0a92a5a08d5c80af10bd054072990d2f58c908768e8fa949036a108445074675	138	0	0	
22	80	82	2599	16929169	AP	omery said. INDIAN	0b92afaacd1c82a716bd60407298cc2f58c048668c9f294927cb188547047667	127	1	0	
23	82	84	1971	16928155	OL	ery said. INDIANAP	0b92afa9dd1cc263743d695072a8ee3e50e50a72ac17694b274a7aa545045644	124	1	0	
24	84	86	1669	16929948	IS	y said. INDIANAPOL	0b82aeab5d3cc361703da952f2a9ec3e1ca61a73ac91e1cb265836a5451c5645	128	1	0	
